id,margin,bush,gore,trash1,trash2,other,hex_color
12011,36.48%, 30.93%, 67.41%,-,-,1.6599999999999966%,4e04ab
12013,13.86%, 55.52%, 41.66%,-,-,2.819999999999993%,8d076a
12015,8.64%, 52.96%, 44.31%,-, 2.19%,2.7299999999999898%,870670
12017,7.46%, 52.06%, 44.60%,-, 2.42%,3.3400000000000034%,840871
12019,47.32%, 72.80%, 25.48%,-,-,1.7199999999999989%,b90440
12021,33.11%, 65.58%, 32.47%,-,-,1.9500000000000028%,a70452
12023,21.17%, 59.24%, 38.07%,-,-,2.6899999999999977%,970661
12027,11.97%, 54.48%, 42.51%,-, 2.01%,3.010000000000005%,8a076c
12029,18.64%, 57.79%, 39.15%,-,-,3.0600000000000023%,930763
12031,16.75%, 57.49%, 40.74%,-,-,1.769999999999996%,920467
12033,27.54%, 62.62%, 35.08%,-,-,2.3000000000000114%,9f0559
12035,4.72%, 46.53%, 51.25%,-,-,2.219999999999999%,760582
12037,8.76%, 52.83%, 44.07%,-,-,3.0999999999999943%,860770
12039,33.71%, 32.38%, 66.09%,-,-,1.5300000000000011%,5203a8
12041,25.76%, 61.17%, 35.40%,-,-,3.430000000000007%,9b085a
12043,11.86%, 54.71%, 42.85%,-,-,2.4399999999999977%,8b066d
12045,18.79%, 57.79%, 39.00%,-,-,3.210000000000008%,930863
12047,10.69%, 54.14%, 43.44%,-,-,2.4200000000000017%,8a066e
12049,22.82%, 60.38%, 37.56%,-,-,2.0600000000000023%,99055f
12051,18.52%, 58.32%, 39.81%,-,-,1.8700000000000045%,940465
12053,3.05%, 47.00%, 50.05%,-, 2.30%,2.950000000000003%,77077f
12055,17.18%, 57.48%, 40.31%,-,-,2.210000000000008%,920566
12057,3.11%, 50.17%, 47.06%,-, 2.08%,2.769999999999996%,7f0778
12059,38.33%, 67.77%, 29.43%,-,-,2.8000000000000114%,ac074b
12061,17.87%, 57.71%, 39.84%,-,-,2.4499999999999886%,930665
12063,13.92%, 56.06%, 42.14%,-,-,1.7999999999999972%,8e046b
12065,9.98%, 43.91%, 53.89%,-,-,2.200000000000003%,6f0589
