statecounty,margin,nixon,humphrey,wallace,hex_color
13279,35.24, 24.52, 15.72, 59.76,3e9828
13281,25.32, 52.33, 27.01, 20.66,853444
13283,32.01, 25.00, 17.99, 57.01,3f912d
13285,24.20, 26.19, 23.42, 50.39,42803b
13287,53.29, 15.66, 15.40, 68.95,27af27
13289,15.33, 14.51, 35.08, 50.41,258059
13291,7.97, 39.37, 31.41, 29.22,644a50
13293,32.02, 22.73, 22.52, 54.75,398b39
13295,35.34, 25.58, 13.48, 60.92,419b22
13297,35.65, 19.99, 22.18, 57.83,329338
13299,35.70, 20.07, 22.11, 57.81,339338
13301,10.54, 23.13, 33.16, 43.70,3a6f54
13303,12.42, 26.43, 30.58, 43.00,436d4d
