id,margin,bush,kerry,other3,other2,other1
13011,58.32%, 78.86%, 20.55%,-,-, 0.59%
13013,53.10%, 76.17%, 23.07%,-,-, 0.76%
13015,48.10%, 73.66%, 25.56%,-,-, 0.79%
13017,20.76%, 60.07%, 39.31%,-,-, 0.61%
13019,40.65%, 69.87%, 29.22%,-,-, 0.91%
13021,2.10%, 48.64%, 50.74%,-,-, 0.62%
13023,42.18%, 70.83%, 28.65%,-,-, 0.51%
13025,54.66%, 77.02%, 22.36%,-,-, 0.62%
13027,14.05%, 56.91%, 42.86%,-,-, 0.23%
13029,47.76%, 73.67%, 25.92%,-,-, 0.41%
13031,28.17%, 63.77%, 35.60%,-,-, 0.62%
13033,0.22%, 49.86%, 49.64%,-,-, 0.49%
13035,32.90%, 66.12%, 33.22%,-,-, 0.66%
13037,11.34%, 44.08%, 55.42%,-,-, 0.50%
13039,34.18%, 66.85%, 32.67%,-,-, 0.48%
13043,30.17%, 64.91%, 34.74%,-,-, 0.35%
13045,41.34%, 70.27%, 28.92%,-,-, 0.81%
13047,47.44%, 73.43%, 25.99%,-,-, 0.57%
13049,36.77%, 68.15%, 31.38%,-,-, 0.47%
13051,0.16%, 49.62%, 49.78%,-,-, 0.61%
13053,7.81%, 53.55%, 45.74%,-,-, 0.71%
13055,27.77%, 63.50%, 35.73%,-,-, 0.78%
13057,58.88%, 78.99%, 20.11%,-,-, 0.90%
13059,17.80%, 40.20%, 58.00%,-,-, 1.80%
13061,22.06%, 38.85%, 60.92%,-,-, 0.23%
13063,41.44%, 29.01%, 70.46%,-,-, 0.53%
13065,33.11%, 66.18%, 33.07%,-,-, 0.75%
13067,24.82%, 61.94%, 37.12%,-,-, 0.94%
13069,35.08%, 67.35%, 32.26%,-,-, 0.39%
13071,41.85%, 70.59%, 28.74%,-,-, 0.66%
13073,51.07%, 75.31%, 24.24%,-,-, 0.45%
13075,27.62%, 63.56%, 35.94%,-,-, 0.50%
13077,49.37%, 74.36%, 24.99%,-,-, 0.66%
13079,28.99%, 64.20%, 35.21%,-,-, 0.59%
13081,24.11%, 61.80%, 37.69%,-,-, 0.51%
13083,40.69%, 69.83%, 29.14%,-,-, 1.02%
13085,64.55%, 81.87%, 17.33%,-,-, 0.80%
13087,19.77%, 59.71%, 39.94%,-,-, 0.35%
13089,45.96%, 26.58%, 72.55%,-,-, 0.87%
13091,31.45%, 65.52%, 34.08%,-,-, 0.40%
