id,margin,romney,obama,other
13289,8.63%, 45.35%, 53.98%, 0.67%
13291,59.72%, 78.97%, 19.25%, 1.77%
13293,29.00%, 64.10%, 35.10%, 0.80%
13295,49.89%, 73.86%, 23.98%, 2.16%
13297,55.44%, 77.07%, 21.63%, 1.31%
13299,33.81%, 66.44%, 32.63%, 0.94%
13301,21.33%, 39.18%, 60.51%, 0.32%
13303,7.70%, 45.76%, 53.46%, 0.77%
13305,48.22%, 73.45%, 25.23%, 1.31%
13307,1.60%, 50.59%, 48.99%, 0.42%
13309,27.44%, 63.09%, 35.66%, 1.25%
13311,66.33%, 82.21%, 15.88%, 1.91%
13313,44.85%, 71.58%, 26.74%, 1.68%
13315,31.70%, 65.55%, 33.84%, 0.61%
13317,11.50%, 55.30%, 43.80%, 0.90%
13319,1.46%, 50.40%, 48.95%, 0.65%
13321,40.09%, 69.57%, 29.48%, 0.95%
15001,51.17%, 23.25%, 74.42%, 2.33%
15003,39.05%, 29.81%, 68.86%, 1.33%
15005,0%,-,-,-
15007,49.35%, 24.13%, 73.47%, 2.40%
15009,50.25%, 23.85%, 74.10%, 2.05%
