id,margin,landon,roosevelt,other,hex_color
12005,71.09%, 14.45%, 85.55%,-,2400da
12007,67.21%, 16.40%, 83.60%,-,2900d5
12009,33.45%, 33.28%, 66.72%,-,5400aa
12011,39.41%, 30.30%, 69.70%,-,4d00b1
12013,70.42%, 14.79%, 85.21%,-,2500d9
12015,17.59%, 41.20%, 58.80%,-,690095
12017,79.15%, 10.43%, 89.57%,-,1a00e4
12019,38.00%, 31.00%, 69.00%,-,4f00af
12021,82.22%, 8.89%, 91.11%,-,1600e8
12023,86.84%, 6.58%, 93.42%,-,1000ee
12027,48.00%, 26.00%, 74.00%,-,4200bc
12029,89.63%, 5.19%, 94.81%,-,0d00f1
12031,65.76%, 17.12%, 82.88%,-,2b00d3
12033,70.72%, 14.64%, 85.36%,-,2500d9
12035,65.42%, 17.29%, 82.71%,-,2c00d2
12037,83.75%, 8.13%, 91.87%,-,1400ea
12039,85.70%, 7.15%, 92.85%,-,1200ec
12041,87.44%, 6.28%, 93.72%,-,1000ee
12043,37.99%, 31.00%, 69.00%,-,4f00af
12045,84.48%, 7.76%, 92.24%,-,1300eb
12047,91.03%, 4.49%, 95.51%,-,0b00f3
12049,43.47%, 28.27%, 71.73%,-,4800b6
12051,52.00%, 24.00%, 76.00%,-,3d00c1
12053,56.16%, 21.92%, 78.08%,-,3700c7
12055,38.54%, 30.73%, 69.27%,-,4e00b0
12057,58.06%, 20.97%, 79.03%,-,3500c9
12059,61.25%, 19.37%, 80.63%,-,3100cd
12061,40.95%, 29.52%, 70.48%,-,4b00b3
12063,82.91%, 8.54%, 91.46%,-,1500e9
12065,81.46%, 9.27%, 90.73%,-,1700e7
12067,86.25%, 6.87%, 93.13%,-,1100ed
12069,33.08%, 33.46%, 66.54%,-,5500a9
12071,38.31%, 30.85%, 69.15%,-,4e00b0
12073,86.31%, 6.84%, 93.16%,-,1100ed
12075,83.26%, 8.37%, 91.63%,-,1500e9
12077,85.19%, 7.41%, 92.59%,-,1200ec
12079,85.05%, 7.47%, 92.53%,-,1300eb
12081,41.12%, 29.44%, 70.56%,-,4b00b3
12083,71.98%, 14.01%, 85.99%,-,2300db
12085,40.81%, 29.59%, 70.41%,-,4b00b3
12086,46.24%, 26.88%, 73.12%,-,4400ba
12087,80.46%, 9.77%, 90.23%,-,1800e6
12089,63.80%, 18.10%, 81.90%,-,2e00d0
12091,68.37%, 15.81%, 84.19%,-,2800d6
12093,55.77%, 22.12%, 77.88%,-,3800c6
12095,24.94%, 37.53%, 62.47%,-,5f009f
12097,19.13%, 40.43%, 59.57%,-,670097
12099,36.54%, 31.73%, 68.27%,-,5000ae
12101,31.58%, 34.21%, 65.79%,-,5700a7
12103,19.20%, 40.40%, 59.60%,-,670097
12105,42.98%, 28.51%, 71.49%,-,4800b6
12107,47.07%, 26.47%, 73.53%,-,4300bb
12109,51.73%, 24.13%, 75.87%,-,3d00c1
12111,59.31%, 20.34%, 79.66%,-,3300cb
12113,59.54%, 20.23%, 79.77%,-,3300cb
12115,39.25%, 30.38%, 69.62%,-,4d00b1
12117,48.40%, 25.80%, 74.20%,-,4100bd
12119,40.28%, 29.86%, 70.14%,-,4c00b2
12121,86.82%, 6.59%, 93.41%,-,1000ee
12123,87.45%, 6.27%, 93.73%,-,0f00ef
12125,84.89%, 7.56%, 92.44%,-,1300eb
12127,23.25%, 38.37%, 61.63%,-,61009d
12129,93.84%, 3.08%, 96.92%,-,0700f7
12131,68.98%, 15.51%, 84.49%,-,2700d7
12133,64.97%, 17.51%, 82.49%,-,2c00d2
13001,80.23%, 9.61%, 89.84%, 0.55%,1801e5
13003,94.12%, 2.94%, 97.06%,-,0700f7
13005,87.49%, 6.26%, 93.74%,-,0f00ef
13007,95.60%, 2.12%, 97.72%, 0.16%,0500f9
13009,75.38%, 12.20%, 87.58%, 0.22%,1f00df
13011,55.96%, 22.02%, 77.98%,-,3800c6
13013,74.46%, 12.69%, 87.16%, 0.15%,2000de
13015,66.57%, 16.57%, 83.13%, 0.30%,2a00d3
13017,77.36%, 11.28%, 88.64%, 0.08%,1c00e2
13019,93.95%, 3.02%, 96.98%,-,0700f7
13021,85.04%, 7.29%, 92.34%, 0.37%,1200eb
13023,80.56%, 9.58%, 90.14%, 0.28%,1800e5
13025,85.14%, 6.99%, 92.13%, 0.87%,1102ea
13027,85.91%, 6.83%, 92.74%, 0.44%,1101ec
13029,81.40%, 9.01%, 90.41%, 0.57%,1601e6
13031,93.31%, 3.22%, 96.53%, 0.24%,0800f6
13033,90.40%, 4.66%, 95.06%, 0.27%,0b00f2
13035,92.85%, 3.28%, 96.13%, 0.59%,0801f5
13037,96.22%,-, 97.98%, 2.02%,0005f9
13039,80.91%, 9.28%, 90.19%, 0.53%,1701e5
13043,84.84%, 7.44%, 92.28%, 0.28%,1200eb
13045,70.05%, 14.93%, 84.98%, 0.09%,2600d8
13047,64.57%, 17.59%, 82.16%, 0.24%,2c00d1
13049,88.53%, 5.63%, 94.16%, 0.20%,0e00f0
13051,78.01%, 10.89%, 88.90%, 0.21%,1b00e2
13053,82.30%, 8.85%, 91.15%,-,1600e8
13055,85.64%, 7.15%, 92.79%, 0.06%,1200ec
13057,17.91%, 40.87%, 58.79%, 0.34%,680095
13059,88.41%, 5.72%, 94.13%, 0.14%,0e00f0
13061,94.39%, 2.61%, 96.99%, 0.40%,0601f7
13063,76.93%, 11.44%, 88.37%, 0.20%,1d00e1
13065,86.60%, 6.60%, 93.21%, 0.19%,1000ed
13067,59.60%, 20.11%, 79.72%, 0.17%,3300cb
13069,87.19%, 6.38%, 93.57%, 0.05%,1000ee
13071,68.98%, 15.44%, 84.42%, 0.14%,2700d7
13073,89.29%, 4.86%, 94.14%, 1.00%,0c02f0
13075,87.00%, 6.44%, 93.45%, 0.11%,1000ee
13077,93.62%, 3.13%, 96.75%, 0.13%,0700f6
13079,89.47%, 5.03%, 94.51%, 0.46%,0c01f1
13081,85.59%, 7.12%, 92.70%, 0.18%,1200ec
13083,74.11%, 12.89%, 87.01%, 0.10%,2000dd
13085,7.87%, 46.07%, 53.93%,-,750089
13087,91.87%, 3.85%, 95.71%, 0.44%,0901f4
13089,73.06%, 13.28%, 86.34%, 0.37%,2100dc
13091,88.92%, 5.31%, 94.24%, 0.45%,0d01f0
13093,94.06%, 2.97%, 97.03%,-,0700f7
13095,90.91%, 4.49%, 95.40%, 0.11%,0b00f3
13097,61.99%, 18.88%, 80.88%, 0.24%,3000ce
13099,91.70%, 3.98%, 95.68%, 0.35%,0a00f3
13101,81.57%, 9.06%, 90.63%, 0.30%,1700e7
13103,62.25%, 18.81%, 81.06%, 0.13%,2f00ce
13105,59.77%, 19.62%, 79.39%, 0.99%,3202ca
13107,87.36%, 6.01%, 93.37%, 0.62%,0f01ee
13109,90.53%, 4.54%, 95.07%, 0.39%,0b00f2
13111,10.20%, 55.10%, 44.90%,-,8c0072
13113,82.78%, 8.55%, 91.33%, 0.12%,1500e8
13115,79.87%, 10.00%, 89.87%, 0.13%,1900e5
13117,17.21%, 41.40%, 58.60%,-,690095
13119,74.00%, 12.73%, 86.73%, 0.54%,2001dd
13121,76.65%, 11.52%, 88.17%, 0.30%,1d00e0
13123,3.72%, 48.14%, 51.86%,-,7a0084
13125,68.41%, 15.45%, 83.86%, 0.68%,2701d5
13127,76.10%, 11.88%, 87.98%, 0.14%,1e00e0
13129,59.99%, 19.87%, 79.86%, 0.28%,3200cb
13131,81.79%, 8.91%, 90.71%, 0.38%,1600e7
13133,87.40%, 5.96%, 93.35%, 0.69%,0f01ee
13135,62.92%, 18.49%, 81.41%, 0.10%,2f00cf
13137,62.71%, 18.21%, 80.93%, 0.86%,2e02ce
13139,71.90%, 13.96%, 85.85%, 0.19%,2300da
