id,margin,dewey,roosevelt,other,hex_color
13117,20.21%, 39.90%, 60.10%,-,650099
13119,61.52%, 19.24%, 80.76%,-,3100cd
13121,65.72%, 17.14%, 82.86%,-,2b00d3
13123,5.43%, 47.29%, 52.71%,-,780086
13125,32.78%, 33.61%, 66.39%,-,5500a9
13127,67.65%, 16.18%, 83.82%,-,2900d5
13129,40.48%, 29.73%, 70.22%, 0.05%,4b00b3
13131,76.33%, 11.84%, 88.16%,-,1e00e0
13133,79.05%, 10.33%, 89.38%, 0.29%,1a00e3
13135,64.81%, 17.60%, 82.40%,-,2c00d2
13137,57.03%, 21.48%, 78.52%,-,3600c8
13139,58.76%, 20.61%, 79.37%, 0.03%,3400ca
13141,55.42%, 22.29%, 77.71%,-,3800c6
13143,15.61%, 42.20%, 57.80%,-,6b0093
13145,83.74%, 8.13%, 91.87%,-,1400ea
13147,72.77%, 13.62%, 86.38%,-,2200dc
13149,50.13%, 24.93%, 75.07%,-,3f00bf
13151,81.15%, 9.42%, 90.58%,-,1800e6
13153,47.59%, 26.21%, 73.79%,-,4200bc
13155,53.79%, 23.10%, 76.90%,-,3a00c4
13157,77.62%, 11.19%, 88.81%,-,1c00e2
13159,80.07%, 9.97%, 90.03%,-,1900e5
13161,72.00%, 14.00%, 86.00%,-,2300db
13163,58.39%, 20.80%, 79.20%,-,3500c9
13165,74.72%, 12.64%, 87.36%,-,2000de
13167,52.57%, 23.71%, 76.29%,-,3c00c2
13169,54.13%, 22.82%, 76.95%, 0.23%,3a00c4
13171,75.30%, 12.35%, 87.65%,-,1f00df
13173,87.97%, 6.02%, 93.98%,-,0f00ef
13175,67.26%, 16.37%, 83.63%,-,2900d5
13177,88.61%, 5.70%, 94.30%,-,0e00f0
13179,59.54%, 20.23%, 79.77%,-,3300cb
13181,45.81%, 27.09%, 72.91%,-,4500b9
13183,42.28%, 28.86%, 71.14%,-,4900b5
13185,67.83%, 16.09%, 83.91%,-,2900d5
13187,61.73%, 19.13%, 80.87%,-,3000ce
13189,61.91%, 19.04%, 80.96%,-,3000ce
13191,46.06%, 26.70%, 72.76%, 0.54%,4401b9
13193,68.21%, 15.89%, 84.11%,-,2800d6
13195,64.58%, 17.64%, 82.22%, 0.13%,2c00d1
13197,75.48%, 12.26%, 87.74%,-,1f00df
13199,84.09%, 7.95%, 92.05%,-,1400ea
13201,86.41%, 6.80%, 93.20%,-,1100ed
13205,81.21%, 9.40%, 90.60%,-,1700e7
13207,46.82%, 26.59%, 73.41%,-,4300bb
