id,margin,eisenhower,stevenson,other,hex_color
13043,52.76%,23.62%,76.38%,0.00%,3c00c2
13045,47.86%,26.07%,73.93%,0.00%,4200bc
13047,23.64%,38.18%,61.82%,0.00%,61009d
13049,57.23%,21.38%,78.62%,0.00%,3600c8
13051,25.08%,62.54%,37.46%,0.00%,9f005f
13053,42.67%,28.67%,71.33%,0.00%,4900b5
13055,38.89%,30.55%,69.45%,0.00%,4d00b1
13057,7.13%,46.43%,53.57%,0.00%,760088
13059,33.78%,33.11%,66.89%,0.00%,5400aa
13061,58.22%,20.89%,79.11%,0.00%,3500c9
13063,55.22%,22.39%,77.61%,0.00%,3900c5
13065,50.55%,24.73%,75.27%,0.00%,3f00bf
13067,26.48%,36.76%,63.24%,0.00%,5d00a1
13069,69.57%,15.21%,84.79%,0.00%,2600d8
13071,53.51%,23.24%,76.76%,0.00%,3b00c3
13073,30.32%,34.84%,65.16%,0.00%,5800a6
13075,79.10%,10.45%,89.55%,0.00%,1a00e4
13077,55.88%,22.06%,77.94%,0.00%,3800c6
13079,75.45%,12.27%,87.73%,0.00%,1f00df
13081,50.31%,24.84%,75.16%,0.00%,3f00bf
13083,8.83%,45.59%,54.41%,0.00%,74008a
13085,8.10%,45.95%,54.05%,0.00%,750089
13087,55.39%,22.31%,77.69%,0.00%,3800c6
13089,31.11%,34.44%,65.56%,0.00%,5700a7
13091,65.00%,17.50%,82.50%,0.00%,2c00d2
13093,82.81%,8.59%,91.41%,0.00%,1500e9
13095,11.91%,44.05%,55.95%,0.00%,70008e
13097,35.67%,32.17%,67.83%,0.00%,5200ac
13099,80.81%,9.60%,90.40%,0.00%,1800e6
13101,59.52%,20.24%,79.76%,0.00%,3300cb
13103,2.08%,51.04%,48.96%,0.00%,82007c
13105,78.10%,10.95%,89.05%,0.00%,1b00e3
13107,55.56%,22.22%,77.78%,0.00%,3800c6
13109,52.79%,23.61%,76.39%,0.00%,3c00c2
13111,28.83%,64.42%,35.58%,0.00%,a4005a
13113,80.91%,9.54%,90.46%,0.00%,1800e6
13115,5.39%,47.31%,52.69%,0.00%,780086
13117,27.71%,36.15%,63.85%,0.00%,5c00a2
13119,84.29%,7.85%,92.15%,0.00%,1400ea
13121,15.57%,42.21%,57.79%,0.00%,6b0093
13123,18.58%,59.29%,40.71%,0.00%,970067
13125,48.11%,25.94%,74.06%,0.00%,4200bc
13127,0.44%,50.22%,49.78%,0.00%,80007e
13129,31.60%,34.20%,65.80%,0.00%,5700a7
13131,68.93%,15.53%,84.47%,0.00%,2700d7
13133,57.62%,21.19%,78.81%,0.00%,3600c8
13135,59.52%,20.24%,79.76%,0.00%,3300cb
13137,45.38%,27.31%,72.69%,0.00%,4500b9
13139,37.03%,31.48%,68.52%,0.00%,5000ae
13141,41.68%,29.16%,70.84%,0.00%,4a00b4
13143,5.42%,47.29%,52.71%,0.00%,780086
13145,40.42%,29.79%,70.21%,0.00%,4b00b3
13147,82.83%,8.59%,91.41%,0.00%,1500e9
13149,70.15%,14.92%,85.08%,0.00%,2600d8
13151,51.32%,24.34%,75.66%,0.00%,3e00c0
13153,61.75%,19.12%,80.88%,0.00%,3000ce
13155,66.56%,16.72%,83.28%,0.00%,2a00d4
13157,75.24%,12.38%,87.62%,0.00%,1f00df
13159,53.92%,23.04%,76.96%,0.00%,3a00c4
13161,74.04%,12.98%,87.02%,0.00%,2100dd
13163,45.03%,27.48%,72.52%,0.00%,4600b8
13165,58.60%,20.70%,79.30%,0.00%,3400ca
13167,79.96%,10.02%,89.98%,0.00%,1900e5
13169,51.95%,24.03%,75.97%,0.00%,3d00c1
13171,46.79%,26.61%,73.39%,0.00%,4300bb
13173,70.83%,14.59%,85.41%,0.00%,2500d9
13175,62.10%,18.95%,81.05%,0.00%,3000ce
13177,74.14%,12.93%,87.07%,0.00%,2000de
13179,4.03%,52.02%,47.98%,0.00%,84007a
13181,63.57%,18.21%,81.79%,0.00%,2e00d0
13183,61.92%,19.04%,80.96%,0.00%,3000ce
13185,29.67%,35.17%,64.83%,0.00%,5900a5
13187,17.56%,41.22%,58.78%,0.00%,690095
13189,23.10%,38.45%,61.55%,0.00%,62009c
13191,17.35%,58.68%,41.32%,0.00%,950069
13193,69.07%,15.47%,84.53%,0.00%,2700d7
13195,86.49%,6.76%,93.24%,0.00%,1100ed
13197,59.28%,20.36%,79.64%,0.00%,3300cb
13199,68.25%,15.88%,84.12%,0.00%,2800d6
13201,55.99%,22.01%,77.99%,0.00%,3800c6
13205,75.49%,12.26%,87.74%,0.00%,1f00df
13207,50.66%,24.67%,75.33%,0.00%,3e00c0
13209,59.03%,20.48%,79.52%,0.00%,3400ca
13211,71.69%,14.15%,85.85%,0.00%,2400da
13213,22.78%,38.61%,61.39%,0.00%,62009c
13215,0.10%,50.05%,49.95%,0.00%,7f007f
13217,71.73%,14.13%,85.87%,0.00%,2400da
13219,57.28%,21.36%,78.64%,0.00%,3600c8
13221,78.74%,10.63%,89.37%,0.00%,1b00e3
13223,25.96%,37.02%,62.98%,0.00%,5e00a0
13225,53.95%,23.03%,76.97%,0.00%,3a00c4
13227,30.89%,65.45%,34.55%,0.00%,a60058
13229,71.12%,14.44%,85.56%,0.00%,2400da
13231,67.11%,16.44%,83.56%,0.00%,2900d5
13233,36.42%,31.79%,68.21%,0.00%,5100ad
13235,78.53%,10.73%,89.27%,0.00%,1b00e3
13237,60.62%,19.69%,80.31%,0.00%,3200cc
13239,83.94%,8.03%,91.97%,0.00%,1400ea
13241,54.21%,22.89%,77.11%,0.00%,3a00c4
13243,48.61%,25.69%,74.31%,0.00%,4100bd
13245,20.11%,60.05%,39.95%,0.00%,990065
