id,margin,bush,dukakis,paul,other
30025,23.84%, 61.25%, 37.41%,-, 1.34%
30027,31.00%, 64.55%, 33.55%,-, 1.90%
30029,16.88%, 57.33%, 40.44%,-, 2.23%
30031,15.89%, 56.94%, 41.06%,-, 2.00%
30033,51.12%, 74.15%, 23.03%, 2.23%, 0.59%
30035,10.56%, 43.16%, 53.72%, 2.25%, 0.87%
30037,24.31%, 61.69%, 37.38%,-, 0.92%
30039,20.97%, 59.50%, 38.54%,-, 1.96%
30041,9.65%, 44.50%, 54.15%,-, 1.35%
30043,6.80%, 52.31%, 45.50%,-, 2.19%
30045,20.58%, 59.50%, 38.92%,-, 1.58%
30047,8.46%, 53.37%, 44.91%,-, 1.73%
30049,4.23%, 46.91%, 51.14%,-, 1.95%
30051,29.22%, 63.82%, 34.60%,-, 1.57%
30053,1.38%, 47.98%, 49.37%, 2.14%, 0.51%
30055,17.66%, 58.18%, 40.53%,-, 1.29%
30057,39.16%, 68.62%, 29.46%,-, 1.91%
30059,31.62%, 65.01%, 33.40%,-, 1.59%
30061,12.11%, 43.14%, 55.25%,-, 1.61%
