id,margin,ford,carter,other
13095,10.21%, 44.89%, 55.11%,-
13097,32.69%, 33.65%, 66.35%,-
13099,35.04%, 32.48%, 67.52%,-
13101,68.10%, 15.95%, 84.05%,-
13103,27.46%, 36.27%, 63.73%,-
13105,66.23%, 16.89%, 83.11%,-
13107,51.02%, 24.49%, 75.51%,-
13109,37.23%, 31.38%, 68.62%,-
13111,12.50%, 43.75%, 56.25%,-
13113,13.44%, 43.28%, 56.72%,-
13115,32.53%, 33.73%, 66.27%,-
13117,52.97%, 23.52%, 76.48%,-
13119,71.84%, 14.08%, 85.92%,-
13121,35.68%, 32.16%, 67.84%,-
13123,32.93%, 33.54%, 66.46%,-
13125,30.98%, 34.51%, 65.49%,-
13127,27.29%, 36.35%, 63.65%,-
13129,56.18%, 21.91%, 78.09%,-
13131,51.32%, 24.34%, 75.66%,-
13133,59.07%, 20.46%, 79.54%,-
13135,19.93%, 40.03%, 59.97%,-
13137,59.13%, 20.44%, 79.56%,-
13139,43.09%, 28.46%, 71.54%,-
13141,52.96%, 23.52%, 76.48%,-
13143,55.53%, 22.24%, 77.76%,-
13145,29.90%, 35.05%, 64.95%,-
13147,68.53%, 15.74%, 84.26%,-
13149,57.26%, 21.37%, 78.63%,-
13151,37.11%, 31.44%, 68.56%,-
13153,41.79%, 29.10%, 70.90%,-
13155,56.39%, 21.80%, 78.20%,-
13157,65.44%, 17.28%, 82.72%,-
13159,45.77%, 27.12%, 72.88%,-
13161,58.90%, 20.55%, 79.45%,-
13163,40.82%, 29.59%, 70.41%,-
13165,52.75%, 23.63%, 76.37%,-
13167,51.99%, 24.00%, 76.00%,-
13169,44.99%, 27.51%, 72.49%,-
13171,53.36%, 23.32%, 76.68%,-
13173,71.95%, 14.02%, 85.98%,-
13175,44.85%, 27.58%, 72.42%,-
13177,21.75%, 39.13%, 60.87%,-
13179,54.54%, 22.73%, 77.27%,-
13181,46.64%, 26.68%, 73.32%,-
13183,69.69%, 15.15%, 84.85%,-
13185,32.36%, 33.82%, 66.18%,-
13187,61.59%, 19.21%, 80.79%,-
13189,28.19%, 35.91%, 64.09%,-
13191,57.42%, 21.29%, 78.71%,-
13193,65.05%, 17.47%, 82.53%,-
13195,50.25%, 24.88%, 75.12%,-
13197,63.74%, 18.13%, 81.87%,-
13199,53.82%, 23.09%, 76.91%,-
13201,52.68%, 23.66%, 76.34%,-
13205,48.18%, 25.91%, 74.09%,-
13207,46.63%, 26.68%, 73.32%,-
13209,44.01%, 28.00%, 72.00%,-
13211,43.11%, 28.45%, 71.55%,-
13213,59.59%, 20.20%, 79.80%,-
13215,28.19%, 35.91%, 64.09%,-
13217,49.31%, 25.35%, 74.65%,-
13219,30.60%, 34.70%, 65.30%,-
13221,39.14%, 30.43%, 69.57%,-
13223,58.20%, 20.90%, 79.10%,-
13225,54.85%, 22.57%, 77.43%,-
13227,45.09%, 27.45%, 72.55%,-
13229,65.70%, 17.15%, 82.85%,-
13231,42.07%, 28.97%, 71.03%,-
13233,51.76%, 24.12%, 75.88%,-
13235,65.39%, 17.30%, 82.70%,-
13237,41.91%, 29.04%, 70.96%,-
13239,36.77%, 31.62%, 68.38%,-
13241,60.46%, 19.77%, 80.23%,-
13243,49.06%, 25.47%, 74.53%,-
13245,14.66%, 42.67%, 57.33%,-
13247,21.88%, 39.06%, 60.94%,-
13249,49.00%, 25.50%, 74.50%,-
13251,29.67%, 35.17%, 64.83%,-
13253,50.56%, 24.72%, 75.28%,-
13255,34.01%, 33.00%, 67.00%,-
13257,61.16%, 19.42%, 80.58%,-
13259,58.06%, 20.97%, 79.03%,-
13261,44.37%, 27.81%, 72.19%,-
13263,56.14%, 21.93%, 78.07%,-
13265,52.03%, 23.98%, 76.02%,-
13267,45.68%, 27.16%, 72.84%,-
13269,59.12%, 20.44%, 79.56%,-
13271,69.46%, 15.27%, 84.73%,-
13273,33.56%, 33.22%, 66.78%,-
13275,30.65%, 34.68%, 65.32%,-
13277,41.15%, 29.43%, 70.57%,-
13279,31.12%, 34.44%, 65.56%,-
13281,20.63%, 39.68%, 60.32%,-
13283,54.23%, 22.88%, 77.12%,-
13285,27.04%, 36.48%, 63.52%,-
13287,68.97%, 15.52%, 84.48%,-
13289,66.12%, 16.94%, 83.06%,-
13291,41.55%, 29.22%, 70.78%,-
13293,18.58%, 40.71%, 59.29%,-
13295,24.97%, 37.51%, 62.49%,-
13297,52.41%, 23.80%, 76.20%,-
13299,48.73%, 25.64%, 74.36%,-
13301,29.93%, 35.04%, 64.96%,-
13303,39.99%, 30.01%, 69.99%,-
13305,49.93%, 25.03%, 74.97%,-
13307,58.07%, 20.97%, 79.03%,-
13309,60.05%, 19.98%, 80.02%,-
13311,54.55%, 22.73%, 77.27%,-
13313,39.92%, 30.04%, 69.96%,-
13315,72.31%, 13.85%, 86.15%,-
13317,39.51%, 30.24%, 69.76%,-
13319,52.02%, 23.99%, 76.01%,-
13321,41.41%, 29.30%, 70.70%,-
15001,1.87%, 48.37%, 50.24%, 1.38%
15003,1.50%, 48.56%, 50.07%, 1.37%
15005,0%,-,-,-
15007,12.58%, 43.23%, 55.81%, 0.96%
15009,7.11%, 45.78%, 52.89%, 1.33%
16001,31.32%, 64.39%, 33.07%, 2.55%
16003,11.50%, 54.74%, 43.23%, 2.03%
16005,11.86%, 53.65%, 41.80%, 2.20%
16007,36.07%, 66.60%, 30.53%, 0.51%
16009,2.97%, 47.58%, 50.55%, 1.86%
16011,24.74%, 60.83%, 36.09%, 3.08%
16013,14.75%, 56.13%, 41.37%, 2.50%
16015,21.51%, 58.61%, 37.10%, 2.23%
16017,5.47%, 51.37%, 45.91%, 2.72%
16019,36.02%, 66.44%, 30.41%, 3.15%
16021,8.62%, 52.15%, 43.53%, 1.04%
16023,5.99%, 51.16%, 45.16%, 1.29%
16025,27.65%, 62.20%, 34.56%, 3.24%
16027,28.44%, 62.91%, 34.47%, 2.62%
16029,32.89%, 64.83%, 31.94%, 0.83%
16031,39.09%, 66.38%, 27.29%, 0.99%
16033,31.85%, 64.48%, 32.63%, 2.90%
16035,8.48%, 44.01%, 52.49%, 1.38%
16037,23.70%, 60.33%, 36.62%, 0.21%
16039,12.72%, 55.46%, 42.74%, 1.80%
16041,38.96%, 67.80%, 28.84%, 0.77%
16043,27.26%, 61.94%, 34.68%, 0.62%
16045,9.29%, 52.75%, 43.45%, 1.21%
16047,19.84%, 58.54%, 38.70%, 2.76%
16049,15.14%, 55.96%, 40.81%, 1.09%
16051,33.56%, 65.14%, 31.58%, 0.43%
16053,26.91%, 61.81%, 34.90%, 1.11%
16055,18.00%, 57.78%, 39.79%, 2.43%
16057,12.29%, 54.90%, 42.61%, 2.49%
16059,17.60%, 56.37%, 38.78%, 0.94%
16061,4.19%, 46.61%, 50.79%, 2.60%
