id,margin,bush,dukakis,trash,other,hex_color
12071,36.12%, 67.71%, 31.59%,-,0.7000000000000028%,ac0150
12073,3.68%, 51.39%, 47.71%,-,0.9000000000000057%,830279
12075,20.69%, 59.75%, 39.06%,-,1.1899999999999977%,980363
12077,32.71%, 65.27%, 32.57%,-,2.1599999999999966%,a60553
12079,13.51%, 56.59%, 43.08%,-,0.3299999999999983%,90006d
12081,31.45%, 65.53%, 34.08%,-,0.39000000000000057%,a70056
12083,33.29%, 66.38%, 33.09%,-,0.5300000000000011%,a90154
12085,45.94%, 72.60%, 26.66%,-,0.7400000000000091%,b90143
12086,11.01%, 55.26%, 44.26%,-,0.480000000000004%,8c0170
12087,21.86%, 60.32%, 38.47%,-,1.210000000000008%,990362
12089,33.65%, 66.59%, 32.95%,-,0.45999999999999375%,a90154
12091,60.71%, 80.04%, 19.33%,-,0.6299999999999955%,cc0131
12093,22.19%, 60.79%, 38.60%,-,0.6099999999999994%,9b0162
12095,36.59%, 67.86%, 31.27%,-,0.8700000000000045%,ad024f
12097,36.78%, 68.05%, 31.27%,-,0.6800000000000068%,ad014f
12099,11.40%, 55.47%, 44.07%,-,0.46000000000000796%,8d0170
12101,11.70%, 55.59%, 43.89%,-,0.519999999999996%,8d016f
12103,16.05%, 57.76%, 41.72%,-,0.5200000000000102%,93016a
12105,33.48%, 66.45%, 32.96%,-,0.5900000000000034%,a90154
12107,15.01%, 57.24%, 42.23%,-,0.5300000000000011%,91016b
12109,40.85%, 70.14%, 29.29%,-,0.5699999999999932%,b2014a
12111,29.70%, 64.54%, 34.84%,-,0.6199999999999903%,a40158
12113,56.29%, 77.85%, 21.56%,-,0.5900000000000034%,c60136
12115,33.36%, 66.40%, 33.04%,-,0.5600000000000023%,a90154
12117,45.14%, 72.20%, 27.06%,-,0.7399999999999949%,b80145
12119,20.57%, 59.98%, 39.41%,-,0.6100000000000136%,980164
12121,29.97%, 64.27%, 34.30%,-,1.4300000000000068%,a30357
12123,39.05%, 69.06%, 30.01%,-,0.9299999999999926%,b0024c
12125,40.57%, 69.99%, 29.42%,-,0.5900000000000034%,b2014b
12127,14.27%, 56.56%, 42.28%,-,1.1599999999999966%,90026b
12129,32.32%, 65.72%, 33.40%,-,0.8799999999999955%,a70255
12131,39.37%, 69.30%, 29.93%,-,0.7700000000000102%,b0014c
12133,33.97%, 66.64%, 32.66%,-,0.7000000000000028%,a90153
13001,23.93%, 61.74%, 37.81%,-,0.44999999999998863%,9d0160
13003,11.80%, 55.60%, 43.80%,-,0.5999999999999943%,8d016f
13005,28.58%, 64.13%, 35.55%,-,0.3200000000000074%,a3005a
13007,5.79%, 46.66%, 52.45%,-,0.8900000000000006%,760285
13009,18.61%, 59.05%, 40.44%,-,0.5100000000000051%,960167
13011,23.47%, 61.58%, 38.11%,-,0.3100000000000023%,9d0061
13013,31.81%, 65.64%, 33.83%,-,0.5300000000000011%,a70156
13015,24.19%, 61.63%, 37.44%,-,0.9300000000000068%,9d025f
13017,3.52%, 51.17%, 47.65%,-,1.1800000000000068%,820379
13019,18.98%, 59.36%, 40.38%,-,0.2599999999999909%,970066
13021,0.21%, 49.96%, 49.74%,-,0.29999999999999716%,7f007e
13023,24.70%, 62.14%, 37.44%,-,0.4200000000000017%,9e015f
13025,2.96%, 51.18%, 48.22%,-,0.5999999999999943%,82017a
