id,margin,hoover,roosevelt,other,hex_color
10005,8.52%, 45.63%, 54.15%, 0.22%,74008a
11001,0%,-,-,-,000000
12001,56.20%, 21.90%, 78.10%,-,3700c7
12003,87.25%, 6.37%, 93.63%,-,1000ee
12005,72.51%, 13.75%, 86.25%,-,2300db
12007,72.50%, 13.75%, 86.25%,-,2300db
12009,31.91%, 34.05%, 65.95%,-,5600a8
12011,31.46%, 34.27%, 65.73%,-,5700a7
12013,82.33%, 8.84%, 91.16%,-,1600e8
12015,41.33%, 29.33%, 70.67%,-,4a00b4
12017,78.32%, 10.84%, 89.16%,-,1b00e3
12019,39.60%, 30.20%, 69.80%,-,4d00b1
12021,83.95%, 8.03%, 91.97%,-,1400ea
12023,86.97%, 6.51%, 93.49%,-,1000ee
12027,52.49%, 23.76%, 76.24%,-,3c00c2
12029,90.44%, 4.78%, 95.22%,-,0c00f2
12031,51.49%, 24.25%, 75.75%,-,3d00c1
12033,57.70%, 21.15%, 78.85%,-,3500c9
12035,66.96%, 16.52%, 83.48%,-,2a00d4
12037,81.27%, 9.37%, 90.63%,-,1700e7
12039,89.34%, 5.33%, 94.67%,-,0d00f1
12041,86.91%, 6.54%, 93.46%,-,1000ee
12043,56.21%, 21.89%, 78.11%,-,3700c7
12045,91.15%, 4.42%, 95.58%,-,0b00f3
12047,82.69%, 8.65%, 91.35%,-,1600e8
12049,62.90%, 18.55%, 81.45%,-,2f00cf
12051,61.47%, 19.27%, 80.73%,-,3100cd
12053,61.92%, 19.04%, 80.96%,-,3000ce
12055,28.37%, 35.82%, 64.18%,-,5b00a3
12057,60.50%, 19.75%, 80.25%,-,3200cc
12059,72.59%, 13.71%, 86.29%,-,2200dc
12061,49.14%, 25.43%, 74.57%,-,4000be
12063,77.94%, 11.03%, 88.97%,-,1c00e2
12065,89.19%, 5.40%, 94.60%,-,0d00f1
12067,94.35%, 2.82%, 97.18%,-,0700f7
12069,24.37%, 37.82%, 62.18%,-,60009e
12071,44.87%, 27.56%, 72.44%,-,4600b8
12073,84.26%, 7.87%, 92.13%,-,1400ea
12075,85.89%, 7.05%, 92.95%,-,1100ed
12077,91.30%, 4.35%, 95.65%,-,0b00f3
12079,75.75%, 12.12%, 87.88%,-,1e00e0
12081,38.67%, 30.67%, 69.33%,-,4e00b0
12083,53.86%, 23.07%, 76.93%,-,3a00c4
12085,37.04%, 31.48%, 68.52%,-,5000ae
12086,31.69%, 34.16%, 65.84%,-,5700a7
12087,78.83%, 10.59%, 89.41%,-,1b00e3
12089,60.59%, 19.71%, 80.29%,-,3200cc
12091,80.41%, 9.79%, 90.21%,-,1800e6
12093,79.82%, 10.09%, 89.91%,-,1900e5
12095,16.13%, 41.93%, 58.07%,-,6a0094
12097,29.27%, 35.36%, 64.64%,-,5a00a4
12099,31.75%, 34.12%, 65.88%,-,5700a7
12101,51.30%, 24.35%, 75.65%,-,3e00c0
12103,15.85%, 42.07%, 57.93%,-,6b0093
12105,46.11%, 26.94%, 73.06%,-,4400ba
12107,43.42%, 28.29%, 71.71%,-,4800b6
12109,45.11%, 27.45%, 72.55%,-,4500b9
12111,60.84%, 19.58%, 80.42%,-,3100cd
12113,79.81%, 10.09%, 89.91%,-,1900e5
12115,48.27%, 25.86%, 74.14%,-,4100bd
12117,38.64%, 30.68%, 69.32%,-,4e00b0
12119,77.13%, 11.43%, 88.57%,-,1d00e1
12121,85.74%, 7.13%, 92.87%,-,1200ec
12123,83.51%, 8.24%, 91.76%,-,1500e9
12125,87.46%, 6.27%, 93.73%,-,0f00ef
12127,25.07%, 37.47%, 62.53%,-,5f009f
12129,96.21%,-, 98.11%, 1.89%,0004fa
12131,78.07%, 10.96%, 89.04%,-,1b00e3
12133,75.08%, 12.46%, 87.54%,-,1f00df
13001,80.75%, 9.62%, 90.38%,-,1800e6
13003,89.03%, 5.17%, 94.20%, 0.63%,0d01f0
13005,95.45%, 2.08%, 97.54%, 0.38%,0500f8
13007,98.77%,-, 99.23%, 0.77%,0001fd
13009,88.52%, 5.27%, 93.79%, 0.94%,0d02ef
13011,90.01%, 4.26%, 94.27%, 1.47%,0a03f0
13013,95.02%, 2.01%, 97.03%, 0.96%,0502f7
13015,84.97%, 7.22%, 92.19%, 0.60%,1201eb
13017,84.32%, 7.62%, 91.94%, 0.45%,1301ea
13019,96.16%,-, 97.44%, 2.56%,0006f8
13021,82.51%, 8.42%, 90.93%, 0.64%,1501e7
13023,94.55%, 2.69%, 97.24%, 0.07%,0600f7
13025,93.58%, 3.07%, 96.65%, 0.28%,0700f6
13027,89.71%, 4.98%, 94.69%, 0.33%,0c00f1
13029,90.08%, 4.56%, 94.64%, 0.80%,0b02f1
13031,97.98%,-, 98.74%, 1.26%,0003fb
13033,91.95%, 3.45%, 95.40%, 1.15%,0802f3
13035,96.93%,-, 98.14%, 1.86%,0004fa
13037,95.17%, 2.01%, 97.18%, 0.80%,0502f7
13039,78.46%, 10.45%, 88.91%, 0.64%,1a01e2
13043,94.49%, 2.65%, 97.14%, 0.20%,0600f7
13045,83.14%, 8.01%, 91.14%, 0.85%,1402e8
13047,77.17%, 11.01%, 88.18%, 0.81%,1c02e0
13049,82.09%, 8.82%, 90.91%, 0.28%,1600e7
13051,65.18%, 17.13%, 82.31%, 0.56%,2b01d1
13053,98.93%,-, 99.47%, 0.53%,0001fd
13055,83.45%, 7.80%, 91.25%, 0.95%,1302e8
13057,68.63%, 15.25%, 83.88%, 0.87%,2602d5
13059,84.70%, 7.35%, 92.05%, 0.60%,1201ea
13061,93.97%, 2.68%, 96.65%, 0.67%,0601f6
13063,94.51%, 2.49%, 97.01%, 0.50%,0601f7
13065,94.94%, 2.32%, 97.26%, 0.42%,0501f8
13067,86.15%, 6.56%, 92.71%, 0.72%,1001ec
13069,95.36%,-, 97.06%, 2.94%,0007f7
13071,94.00%, 2.77%, 96.77%, 0.47%,0701f6
13073,95.92%, 2.04%, 97.96%,-,0500f9
13075,96.04%,-, 97.78%, 2.22%,0005f9
13077,95.62%, 2.06%, 97.67%, 0.27%,0500f9
13079,93.59%, 3.20%, 96.80%,-,0800f6
13081,96.62%,-, 97.97%, 2.03%,0005f9
13083,75.20%, 11.61%, 86.81%, 1.58%,1d04dd
13085,68.34%, 15.53%, 83.88%, 0.59%,2701d5
13087,87.83%, 5.17%, 93.00%, 1.83%,0d04ed
13089,77.66%, 10.48%, 88.14%, 1.37%,1a03e0
13091,97.64%,-, 98.80%, 1.20%,0003fb
13093,98.26%,-, 98.96%, 1.04%,0002fc
13095,90.55%, 4.49%, 95.04%, 0.47%,0b01f2
13097,87.95%, 5.24%, 93.19%, 1.56%,0d03ed
13099,96.53%,-, 98.18%, 1.82%,0004fa
13101,97.61%,-, 98.81%, 1.19%,0003fb
13103,70.16%, 14.75%, 84.92%, 0.33%,2500d8
13105,91.84%, 3.63%, 95.47%, 0.90%,0902f3
13107,97.15%,-, 98.49%, 1.51%,0003fb
13109,91.49%, 3.65%, 95.14%, 1.22%,0903f2
13111,17.71%, 58.86%, 41.14%,-,960068
13113,98.27%,-, 99.07%, 0.93%,0002fc
13115,86.52%, 6.42%, 92.94%, 0.64%,1001ec
13117,86.29%, 6.69%, 92.97%, 0.34%,1100ed
13119,87.82%, 5.34%, 93.16%, 1.51%,0d03ed
13121,80.50%, 9.19%, 89.69%, 1.13%,1702e4
13123,32.53%, 33.73%, 66.27%,-,5600a8
13125,96.50%,-, 98.25%, 1.75%,0004fa
13127,74.10%, 12.81%, 86.91%, 0.28%,2000dd
13129,85.82%, 6.60%, 92.42%, 0.97%,1002eb
13131,94.23%, 2.66%, 96.89%, 0.44%,0601f7
13133,89.09%, 5.35%, 94.44%, 0.21%,0d00f0
13135,93.24%, 3.36%, 96.60%, 0.04%,0800f6
13137,75.40%, 11.56%, 86.95%, 1.49%,1d03dd
13139,90.97%, 4.32%, 95.29%, 0.40%,0b01f2
13141,92.74%, 3.27%, 96.01%, 0.73%,0801f4
13143,70.29%, 14.86%, 85.14%,-,2500d9
13145,94.86%, 2.40%, 97.26%, 0.34%,0600f8
13147,98.04%,-, 98.98%, 1.02%,0002fc
13149,94.98%, 2.36%, 97.34%, 0.30%,0600f8
13151,96.28%,-, 97.65%, 2.35%,0005f9
13153,88.91%, 5.54%, 94.46%,-,0e00f0
13155,96.87%,-, 98.40%, 1.60%,0004fa
13157,88.15%, 5.39%, 93.54%, 1.08%,0d02ee
13159,96.08%,-, 97.85%, 2.15%,0005f9
13161,91.64%, 4.06%, 95.70%, 0.24%,0a00f4
13163,90.43%, 4.23%, 94.66%, 1.11%,0a02f1
13165,92.45%, 3.77%, 96.23%,-,0900f5
13167,96.72%,-, 98.06%, 1.94%,0004fa
13169,99.10%,-, 99.46%, 0.54%,0001fd
13171,90.32%, 4.38%, 94.69%, 0.93%,0b02f1
13173,95.85%,-, 97.24%, 2.76%,0007f7
13175,96.54%,-, 98.25%, 1.75%,0004fa
13177,95.35%, 2.33%, 97.67%,-,0500f9
13179,87.99%, 5.84%, 93.83%, 0.32%,0e00ef
13181,98.95%,-, 99.40%, 0.60%,0001fd
13183,92.65%, 3.12%, 95.77%, 1.11%,0702f4
