id,margin,reagan,mondale,hall,other,hex_color
12003,43.24%, 71.62%, 28.38%,-,0.0%,b60048
12005,51.55%, 75.77%, 24.22%,-,0.01%,c1003d
12007,27.65%, 63.82%, 36.18%,-,0.0%,a2005c
12009,46.94%, 73.45%, 26.51%,-,0.04%,bb0043
12011,13.36%, 56.68%, 43.32%,-,0.01%,90006e
12013,31.02%, 65.48%, 34.46%,-,0.05%,a60057
12015,41.71%, 70.85%, 29.14%,-,0.01%,b4004a
12017,32.96%, 66.47%, 33.51%,-,0.01%,a90055
12019,59.43%, 79.72%, 20.28%,-,0.0%,cb0033
12021,57.51%, 78.75%, 21.24%,-,0.01%,c80036
12023,34.82%, 67.41%, 32.59%,-,0.0%,ab0053
12027,35.32%, 67.64%, 32.32%,-,0.04%,ac0052
12029,28.59%, 64.29%, 35.71%,-,0.0%,a3005b
12031,24.84%, 62.41%, 37.57%,-,0.02%,9f005f
12033,42.65%, 71.32%, 28.66%,-,0.02%,b50049
12035,24.17%, 62.08%, 37.91%,-,0.01%,9e0060
12037,34.10%, 67.05%, 32.95%,-,0.0%,aa0054
12039,12.08%, 43.95%, 56.03%,-,0.02%,70008e
12041,32.34%, 66.15%, 33.82%,-,0.03%,a80056
12043,30.00%, 65.00%, 35.00%,-,0.0%,a50059
12045,33.40%, 66.70%, 33.30%,-,0.0%,aa0054
12047,15.65%, 57.83%, 42.17%,-,0.0%,93006b
12049,44.13%, 72.06%, 27.94%,-,0.0%,b70047
12051,38.31%, 69.15%, 30.85%,-,0.0%,b0004e
12053,27.10%, 63.54%, 36.44%,-,0.01%,a2005c
12055,39.07%, 69.53%, 30.46%,-,0.01%,b1004d
12057,29.36%, 64.67%, 35.31%,-,0.02%,a4005a
12059,57.40%, 78.70%, 21.30%,-,0.0%,c80036
12061,46.16%, 73.08%, 26.92%,-,0.0%,ba0044
12063,29.40%, 64.70%, 35.30%,-,0.0%,a4005a
12065,4.35%, 52.16%, 47.81%,-,0.02%,850079
12067,27.41%, 63.71%, 36.29%,-,0.0%,a2005c
12069,48.59%, 74.29%, 25.70%,-,0.01%,bd0041
12071,47.80%, 73.89%, 26.09%,-,0.03%,bc0042
12073,10.06%, 55.00%, 44.94%,-,0.06%,8c0072
12075,28.37%, 64.19%, 35.81%,-,0.0%,a3005b
12077,36.89%, 68.45%, 31.55%,-,0.0%,ae0050
12079,14.59%, 57.30%, 42.70%,-,0.0%,92006c
12081,45.51%, 72.75%, 27.24%,-,0.01%,b90045
