id,margin,dole,clinton,perot,nader,other,hex_color
06103,14.68%, 50.34%, 35.66%, 11.37%,-,14.0%,80235a
06105,5.55%, 42.93%, 37.38%, 14.53%, 2.70%,19.689999999999998%,6d325f
06107,15.85%, 53.90%, 38.06%, 5.95%,-,8.039999999999992%,891461
06109,6.54%, 47.27%, 40.73%, 8.76%,-,12.0%,781e67
06111,0.63%, 43.47%, 44.10%, 9.18%,-,12.430000000000007%,6e1f70
06113,24.49%, 32.38%, 56.88%, 5.42%, 4.09%,10.739999999999995%,521b91
06115,14.10%, 51.53%, 37.42%, 8.46%,-,11.049999999999997%,831c5f
08001,12.36%, 38.92%, 51.28%, 7.65%,-,9.799999999999997%,631882
08003,5.91%, 41.23%, 47.14%, 8.84%,-,11.629999999999995%,691d78
08005,8.88%, 50.79%, 41.91%, 5.20%,-,7.300000000000011%,81126a
08007,28.11%, 57.11%, 29.01%, 10.47%,-,13.879999999999995%,912349
08009,29.83%, 59.53%, 29.70%, 9.15%,-,10.769999999999996%,971b4b
08011,5.87%, 41.70%, 47.57%, 9.50%,-,10.72999999999999%,6a1b79
08013,17.63%, 34.55%, 52.17%, 5.64%, 5.58%,13.280000000000001%,582185
08014,0%,-,-,-,-,0,000000
08015,4.36%, 46.85%, 42.49%, 8.26%,-,10.659999999999997%,771b6c
08017,34.95%, 62.84%, 27.89%, 7.74%,-,9.269999999999996%,a01747
08019,2.81%, 41.97%, 44.78%, 8.77%,-,13.25%,6b2172
08021,18.11%, 36.06%, 54.17%, 7.69%,-,9.769999999999996%,5b188a
08023,50.88%, 20.29%, 71.18%, 6.83%,-,8.530000000000001%,3315b5
08025,8.83%, 49.60%, 40.77%, 8.32%,-,9.629999999999995%,7e1867
08027,32.52%, 58.90%, 26.38%, 10.50%,-,14.719999999999999%,962543
08029,22.19%, 54.48%, 32.29%, 9.55%, 2.14%,13.230000000000004%,8a2152
08031,31.71%, 30.04%, 61.76%, 4.51%,-,8.200000000000003%,4c149d
08033,17.47%, 51.67%, 34.20%, 11.77%,-,14.129999999999995%,832457
08035,30.57%, 61.80%, 31.23%, 5.12%,-,6.969999999999999%,9d114f
08037,4.03%, 40.89%, 44.92%, 10.52%, 2.32%,14.189999999999998%,682472
08039,33.01%, 61.04%, 28.03%, 7.50%,-,10.930000000000007%,9b1b47
08041,26.86%, 59.04%, 32.19%, 6.44%,-,8.77000000000001%,961652
08043,14.42%, 51.24%, 36.82%, 9.91%,-,11.939999999999998%,821e5d
08045,3.95%, 44.43%, 40.47%, 11.05%, 2.61%,15.099999999999994%,712667
08047,6.54%, 38.12%, 44.66%, 10.29%, 4.81%,17.22%,612b71
08049,5.15%, 46.30%, 41.15%, 9.67%,-,12.550000000000011%,762068
08051,9.67%, 37.04%, 46.70%, 9.47%, 4.72%,16.25999999999999%,5e2977
08053,19.01%, 52.83%, 33.82%, 10.24%, 2.56%,13.349999999999994%,862256
08055,17.54%, 35.88%, 53.42%, 7.56%, 2.23%,10.699999999999989%,5b1b88
08057,31.69%, 58.34%, 26.65%, 12.85%,-,15.009999999999991%,942643
08059,5.73%, 48.41%, 42.67%, 6.18%,-,8.920000000000002%,7b166c
08061,34.20%, 61.96%, 27.77%, 8.35%,-,10.269999999999996%,9d1a46
08063,28.99%, 60.26%, 31.26%, 6.85%,-,8.480000000000004%,99154f
08065,24.90%, 29.71%, 54.61%, 11.18%, 2.33%,15.680000000000007%,4b278b
08067,8.94%, 46.52%, 37.58%, 8.10%, 6.46%,15.900000000000006%,76285f
08069,5.10%, 47.14%, 42.04%, 7.00%,-,10.819999999999993%,781b6b
08071,28.24%, 31.53%, 59.76%, 7.07%,-,8.710000000000008%,501698
08073,24.65%, 57.74%, 33.09%, 7.44%,-,9.169999999999987%,931754
08075,16.70%, 53.15%, 36.45%, 8.03%,-,10.400000000000006%,871a5c
08077,16.41%, 53.12%, 36.72%, 7.95%,-,10.159999999999997%,87195d
08079,2.91%, 40.04%, 42.95%, 15.44%,-,17.00999999999999%,662b6d
08081,17.18%, 50.99%, 33.81%, 13.42%,-,15.199999999999989%,822656
08083,20.39%, 53.31%, 32.92%, 10.56%, 2.06%,13.769999999999996%,872353
08085,22.15%, 54.99%, 32.84%, 9.70%,-,12.169999999999987%,8c1f53
08087,13.90%, 52.34%, 38.44%, 7.89%,-,9.219999999999999%,851762
08089,0.40%, 45.13%, 45.53%, 7.81%,-,9.340000000000003%,731774
08091,23.13%, 54.85%, 31.72%, 9.31%, 2.90%,13.430000000000007%,8b2250
08093,15.59%, 50.77%, 35.18%, 10.19%,-,14.049999999999997%,812359
