id,margin,goldwater,johnson,other,hex_color
13173,4.20%, 52.10%, 47.90%,-,84007a
13175,17.54%, 58.76%, 41.22%,-,950069
13177,62.02%, 81.01%, 18.99%,-,ce0030
13179,20.54%, 39.73%, 60.27%,-,650099
13181,45.52%, 72.76%, 27.24%,-,b90045
13183,68.90%, 15.55%, 84.45%,-,2700d7
13185,21.91%, 60.95%, 39.04%,-,9b0063
13187,16.33%, 41.81%, 58.14%,-,6a0094
13189,40.54%, 70.27%, 29.73%,-,b3004b
13191,20.02%, 39.99%, 60.01%,-,650099
13193,23.12%, 61.56%, 38.44%,-,9c0062
13195,32.60%, 33.70%, 66.30%,-,5500a9
13197,32.63%, 66.27%, 33.64%,-,a80055
13199,3.70%, 48.14%, 51.84%,-,7a0084
13201,71.64%, 85.82%, 14.18%,-,da0024
13205,46.35%, 73.17%, 26.83%,-,ba0044
13207,2.68%, 51.33%, 48.64%,-,82007c
13209,23.22%, 61.61%, 38.39%,-,9d0061
13211,5.38%, 47.31%, 52.69%,-,780086
13213,38.97%, 30.44%, 69.41%,-,4d00b0
13215,25.63%, 62.81%, 37.18%,-,a0005e
13217,14.96%, 42.52%, 57.48%,-,6c0092
13219,7.26%, 53.63%, 46.37%,-,880076
13221,13.17%, 56.58%, 43.42%,-,90006e
13223,13.53%, 43.23%, 56.77%,-,6e0090
13225,10.83%, 55.40%, 44.57%,-,8d0071
13227,0.64%, 50.32%, 49.68%,-,80007e
13229,33.72%, 66.86%, 33.14%,-,aa0054
13231,5.87%, 52.94%, 47.06%,-,860078
13233,16.24%, 41.86%, 58.10%,-,6a0094
13235,29.90%, 64.86%, 34.96%,-,a50059
13237,8.04%, 54.02%, 45.98%,-,890075
13239,24.22%, 62.11%, 37.89%,-,9e0060
13241,53.05%, 23.48%, 76.52%,-,3b00c3
13243,26.48%, 63.18%, 36.70%,-,a1005d
13245,22.66%, 61.32%, 38.67%,-,9c0062
13247,13.50%, 43.25%, 56.75%,-,6e0090
13249,20.96%, 60.48%, 39.52%,-,9a0064
13251,21.96%, 60.98%, 39.02%,-,9b0063
13253,50.38%, 75.19%, 24.81%,-,bf003f
13255,6.87%, 46.56%, 53.44%,-,760088
13257,43.51%, 28.24%, 71.76%,-,4800b6
13259,46.99%, 73.39%, 26.40%,-,bb0043
13261,37.21%, 68.61%, 31.39%,-,ae0050
13263,3.98%, 51.99%, 48.01%,-,84007a
13265,30.16%, 34.92%, 65.08%,-,5900a5
13267,32.90%, 66.45%, 33.55%,-,a90055
13269,11.13%, 55.55%, 44.41%,-,8d0071
13271,1.11%, 50.55%, 49.45%,-,80007e
13273,54.30%, 77.15%, 22.85%,-,c4003a
13275,31.88%, 65.94%, 34.06%,-,a80056
13277,34.08%, 67.04%, 32.96%,-,aa0054
13279,35.54%, 67.77%, 32.23%,-,ac0052
13281,6.13%, 46.88%, 53.00%,-,770087
13283,29.65%, 35.15%, 64.80%,-,5900a5
13285,6.68%, 46.66%, 53.34%,-,760088
13287,39.86%, 69.93%, 30.07%,-,b2004c
13289,19.96%, 59.98%, 40.02%,-,980066
13291,18.35%, 40.83%, 59.17%,-,680096
13293,2.69%, 48.61%, 51.30%,-,7b0082
13295,4.25%, 52.09%, 47.84%,-,840079
13297,10.03%, 54.99%, 44.97%,-,8c0072
13299,2.38%, 48.81%, 51.19%,-,7c0082
13301,47.18%, 73.59%, 26.41%,-,bb0043
13303,11.29%, 55.63%, 44.34%,-,8d0071
