id,margin,harding,cox,other,other2,hex_color
12109,18.32%, 37.98%, 56.30%,0.0%,-,60008f
12111,23.03%, 35.40%, 58.44%,0.0%,-,5a0095
12113,41.63%, 28.88%, 70.51%,0.61%,-,4901b3
12115,0%,-,-,0.0%,-,000000
12117,30.22%, 32.28%, 62.50%,0.0%,-,52009f
12119,60.78%, 18.96%, 79.74%,1.3%,-,3003cb
12121,53.91%, 18.65%, 72.56%,0.0%,-,2f00b9
12123,60.25%, 17.73%, 77.98%,1.11%,-,2d02c6
12125,0%,-,-,0.0%,-,000000
12127,11.17%, 41.30%, 52.47%,0.0%,-,690085
12129,61.53%, 17.81%, 79.34%,0.45%,-,2d01ca
12131,33.58%, 30.66%, 64.24%,1.78%,-,4e04a3
12133,36.61%, 25.37%, 61.98%,0.0%,-,40009e
13001,22.99%, 38.51%, 61.49%,0.0%,-,62009c
13003,58.39%, 20.80%, 79.20%,0.0%,-,3500c9
13005,16.73%, 41.63%, 58.37%,0.0%,-,6a0094
13007,27.60%, 36.20%, 63.80%,0.0%,-,5c00a2
13009,71.52%, 14.24%, 85.76%,0.0%,-,2400da
13011,16.69%, 41.66%, 58.34%,0.0%,-,6a0094
13013,27.91%, 36.05%, 63.95%,0.0%,-,5b00a3
13015,10.02%, 44.99%, 55.01%,0.0%,-,72008c
13017,40.13%, 29.94%, 70.06%,0.0%,-,4c00b2
13019,82.97%, 8.52%, 91.48%,0.0%,-,1500e9
13021,63.18%, 18.41%, 81.59%,0.0%,-,2e00d0
13023,100.00%,-, 100.00%,0.0%,-,0000fe
13025,0%,-,-,0.0%,-,000000
13027,77.41%, 11.29%, 88.71%,0.0%,-,1c00e2
13029,78.57%, 10.71%, 89.29%,0.0%,-,1b00e3
13031,63.15%, 18.42%, 81.58%,0.0%,-,2e00d0
13033,81.69%, 9.15%, 90.85%,0.0%,-,1700e7
13035,56.14%, 21.93%, 78.07%,0.0%,-,3700c7
13037,97.80%,-, 98.90%,1.1%,-,0002fc
13039,83.13%, 8.43%, 91.57%,0.0%,-,1500e9
13043,81.65%, 9.18%, 90.82%,0.0%,-,1700e7
13045,14.17%, 42.92%, 57.08%,0.0%,-,6d0091
13047,25.00%, 37.50%, 62.50%,0.0%,-,5f009f
13049,69.73%, 15.14%, 84.86%,0.0%,-,2600d8
13051,62.01%, 19.00%, 81.00%,0.0%,-,3000ce
13053,89.13%, 5.43%, 94.57%,0.0%,-,0d00f1
13055,26.62%, 36.69%, 63.31%,0.0%,-,5d00a1
13057,35.32%, 67.66%, 32.34%,0.0%,-,ac0052
13059,73.47%, 13.26%, 86.74%,0.0%,-,2100dd
13061,57.00%, 21.50%, 78.50%,0.0%,-,3600c8
13063,86.64%, 6.68%, 93.32%,0.0%,-,1100ed
13065,58.49%, 20.75%, 79.25%,0.0%,-,3400ca
13067,4.91%, 47.55%, 52.45%,0.0%,-,790085
13069,29.88%, 35.06%, 64.94%,0.0%,-,5900a5
13071,18.98%, 40.51%, 59.49%,0.0%,-,670097
13073,100.00%,-, 100.00%,0.0%,-,0000fe
13075,7.64%, 53.82%, 46.18%,0.0%,-,890075
13077,73.24%, 13.38%, 86.62%,0.0%,-,2200dc
13079,56.67%, 21.67%, 78.33%,0.0%,-,3700c7
13081,74.38%, 12.81%, 87.19%,0.0%,-,2000de
13083,62.50%, 18.75%, 81.25%,0.0%,-,2f00cf
13085,16.45%, 58.22%, 41.78%,0.0%,-,94006a
13087,53.20%, 23.40%, 76.60%,0.0%,-,3b00c3
13089,39.40%, 30.30%, 69.70%,0.0%,-,4d00b1
13091,55.97%, 22.01%, 77.99%,0.0%,-,3800c6
13093,86.62%, 6.69%, 93.31%,0.0%,-,1100ed
13095,71.07%, 14.46%, 85.54%,0.0%,-,2400da
13097,5.32%, 52.66%, 47.34%,0.0%,-,860078
13099,83.61%, 8.19%, 91.81%,0.0%,-,1400ea
13101,0%,-,-,0.0%,-,000000
13103,72.04%, 13.98%, 86.02%,0.0%,-,2300db
13105,73.92%, 13.04%, 86.96%,0.0%,-,2100dd
13107,76.74%, 11.63%, 88.37%,0.0%,-,1d00e1
13109,92.86%, 3.57%, 96.43%,0.0%,-,0900f5
13111,32.72%, 66.36%, 33.64%,0.0%,-,a90055
13113,48.55%, 25.72%, 74.28%,0.0%,-,4100bd
13115,48.49%, 25.75%, 74.25%,0.0%,-,4100bd
13117,4.63%, 47.68%, 52.32%,0.0%,-,790085
13119,33.08%, 33.46%, 66.54%,0.0%,-,5500a9
13121,33.09%, 33.46%, 66.54%,0.0%,-,5500a9
