statecounty,Margin,Reagan,Mondale,Hall,Other
13113,62.93%, 81.47%, 18.53%,-,-
13115,27.00%, 63.50%, 36.50%,-,-
13117,50.09%, 75.04%, 24.96%,-,-
13119,16.21%, 58.10%, 41.90%,-,-
13121,13.78%, 43.11%, 56.89%,-,-
13123,41.32%, 70.66%, 29.34%,-,-
13125,44.58%, 72.29%, 27.71%,-,-
13127,28.15%, 64.07%, 35.93%,-,-
13129,36.20%, 68.10%, 31.90%,-,-
13131,26.44%, 63.22%, 36.78%,-,-
13133,10.94%, 44.53%, 55.47%,-,-
13135,58.95%, 79.48%, 20.52%,-,-
13137,37.24%, 68.62%, 31.38%,-,-
13139,34.03%, 67.01%, 32.99%,-,-
13141,53.21%, 23.39%, 76.61%,-,-
13143,34.12%, 67.06%, 32.94%,-,-
13145,19.91%, 59.95%, 40.05%,-,-
13147,6.48%, 53.24%, 46.76%,-,-
13149,29.63%, 64.81%, 35.19%,-,-
13151,38.12%, 69.06%, 30.94%,-,-
13153,21.42%, 60.71%, 39.29%,-,-
13155,19.02%, 59.51%, 40.49%,-,-
13157,21.46%, 60.73%, 39.27%,-,-
13159,12.10%, 56.05%, 43.95%,-,-
13161,23.61%, 61.80%, 38.20%,-,-
13163,3.15%, 51.57%, 48.43%,-,-
13165,11.61%, 55.80%, 44.20%,-,-
13167,18.21%, 59.11%, 40.89%,-,-
13169,10.03%, 55.01%, 44.99%,-,-
13171,15.59%, 57.80%, 42.20%,-,-
13173,6.97%, 53.48%, 46.52%,-,-
13175,13.52%, 56.76%, 43.24%,-,-
13177,39.66%, 69.83%, 30.17%,-,-
13179,7.06%, 53.53%, 46.47%,-,-
13181,9.79%, 54.89%, 45.11%,-,-
13183,14.78%, 57.39%, 42.61%,-,-
13185,25.72%, 62.86%, 37.14%,-,-
13187,28.41%, 64.21%, 35.79%,-,-
13189,24.16%, 62.08%, 37.92%,-,-
13191,8.59%, 45.71%, 54.29%,-,-
13193,24.93%, 37.54%, 62.46%,-,-
13195,38.07%, 69.04%, 30.96%,-,-
13197,5.84%, 47.08%, 52.92%,-,-
13199,5.46%, 52.73%, 47.27%,-,-
13201,43.86%, 71.93%, 28.07%,-,-
13205,0.98%, 49.51%, 50.49%,-,-
13207,5.01%, 52.51%, 47.49%,-,-
13209,17.93%, 58.96%, 41.04%,-,-
13211,14.62%, 57.31%, 42.69%,-,-
13213,36.21%, 68.10%, 31.90%,-,-
13215,6.68%, 53.34%, 46.66%,-,-
13217,26.32%, 63.16%, 36.84%,-,-
13219,40.58%, 70.29%, 29.71%,-,-
13221,26.31%, 63.15%, 36.85%,-,-
13223,39.53%, 69.77%, 30.23%,-,-
13225,11.91%, 44.05%, 55.95%,-,-
13227,35.64%, 67.82%, 32.18%,-,-
13229,13.71%, 56.86%, 43.14%,-,-
13231,21.32%, 60.66%, 39.34%,-,-
13233,24.99%, 62.49%, 37.51%,-,-
13235,2.34%, 51.17%, 48.83%,-,-
13237,15.60%, 57.80%, 42.20%,-,-
13239,15.16%, 42.42%, 57.58%,-,-
13241,26.72%, 63.36%, 36.64%,-,-
13243,4.09%, 52.04%, 47.96%,-,-
13245,16.96%, 58.48%, 41.52%,-,-
13247,50.92%, 75.46%, 24.54%,-,-
13249,20.75%, 60.37%, 39.63%,-,-
13251,19.31%, 59.65%, 40.35%,-,-
13253,9.58%, 54.79%, 45.21%,-,-
13255,27.46%, 63.73%, 36.27%,-,-
13257,28.20%, 64.10%, 35.90%,-,-
13259,23.81%, 38.10%, 61.90%,-,-
13261,10.59%, 55.29%, 44.71%,-,-
13263,31.51%, 34.24%, 65.76%,-,-
13265,26.73%, 36.64%, 63.36%,-,-
13267,30.15%, 65.08%, 34.92%,-,-
13269,1.82%, 49.09%, 50.91%,-,-
13271,1.71%, 49.14%, 50.86%,-,-
13273,4.37%, 52.18%, 47.82%,-,-
13275,22.82%, 61.41%, 38.59%,-,-
13277,23.63%, 61.81%, 38.19%,-,-
13279,30.42%, 65.21%, 34.79%,-,-
13281,32.12%, 66.06%, 33.94%,-,-
13283,12.60%, 56.30%, 43.70%,-,-
13285,27.84%, 63.92%, 36.08%,-,-
13287,2.27%, 51.14%, 48.86%,-,-
13289,21.12%, 39.44%, 60.56%,-,-
13291,26.50%, 63.25%, 36.75%,-,-
13293,24.01%, 62.01%, 37.99%,-,-
