id,margin,hoover,smith,other,hex_color
12095,41.95%, 70.04%, 28.08%, 1.88%,b20447
12097,21.67%, 60.25%, 38.58%, 1.16%,990262
12099,32.08%, 64.23%, 32.15%, 1.48%,a30351
12101,9.65%, 54.26%, 44.61%, 1.13%,8a0271
12103,50.22%, 74.52%, 24.30%, 1.18%,be033d
12105,23.28%, 60.23%, 36.94%, 2.83%,99075e
12107,28.40%, 63.01%, 34.60%, 2.39%,a00658
12109,25.86%, 36.65%, 62.50%, 0.85%,5d029f
12111,13.76%, 55.88%, 42.13%, 1.99%,8e056b
12113,49.39%, 73.97%, 24.58%, 1.45%,bc033e
12115,14.86%, 56.46%, 41.60%, 1.94%,8f046a
12117,19.80%, 58.89%, 39.10%, 2.01%,960563
12119,11.73%, 55.60%, 43.87%, 0.53%,8d016f
12121,35.55%, 31.68%, 67.22%, 1.10%,5002ab
12123,22.42%, 38.05%, 60.47%, 1.47%,61039a
12125,47.31%, 25.69%, 73.00%, 1.31%,4103ba
12127,36.76%, 67.78%, 31.03%, 1.19%,ac034f
12129,74.54%, 12.18%, 86.72%, 1.11%,1f02dd
12131,23.59%, 61.36%, 37.77%, 0.87%,9c0260
12133,41.74%, 69.72%, 27.98%, 2.29%,b10547
13001,16.50%, 58.25%, 41.75%,-,94006a
13003,48.62%, 25.69%, 74.31%,-,4100bd
13005,20.08%, 39.96%, 60.04%,-,650099
13007,64.71%, 17.65%, 82.35%,-,2d00d1
13009,45.01%, 27.49%, 72.51%,-,4600b8
13011,7.52%, 46.24%, 53.76%,-,750089
13013,17.63%, 58.81%, 41.19%,-,950069
13015,0.48%, 50.24%, 49.76%,-,80007e
13017,37.24%, 31.38%, 68.62%,-,5000ae
13019,75.00%, 12.50%, 87.50%,-,1f00df
13021,4.83%, 47.58%, 52.42%,-,790085
13023,80.06%, 9.97%, 90.03%,-,1900e5
13025,1.78%, 50.89%, 49.11%,-,81007d
13027,60.08%, 19.96%, 80.04%,-,3200cc
13029,18.38%, 40.81%, 59.19%,-,680096
13031,52.95%, 23.53%, 76.47%,-,3c00c2
13033,45.09%, 27.46%, 72.54%,-,4600b8
13035,70.22%, 14.89%, 85.11%,-,2500d9
13037,72.51%, 13.75%, 86.25%,-,2300db
13039,1.29%, 49.35%, 50.65%,-,7d0081
13043,51.10%, 24.45%, 75.55%,-,3e00c0
13045,4.94%, 52.47%, 47.53%,-,850079
13047,3.68%, 51.84%, 48.16%,-,84007a
13049,44.35%, 27.83%, 72.17%,-,4600b8
13051,2.27%, 48.86%, 51.14%,-,7c0082
13053,77.36%, 11.32%, 88.68%,-,1c00e2
13055,8.73%, 54.37%, 45.63%,-,8a0074
13057,48.58%, 74.29%, 25.71%,-,bd0041
13059,32.05%, 33.97%, 66.03%,-,5600a8
13061,75.70%, 12.15%, 87.85%,-,1e00e0
13063,0.57%, 50.28%, 49.72%,-,80007e
13065,66.74%, 16.63%, 83.37%,-,2a00d4
13067,9.09%, 54.54%, 45.46%,-,8b0073
13069,33.11%, 33.45%, 66.55%,-,5500a9
13071,9.85%, 45.07%, 54.93%,-,72008c
13073,8.77%, 45.61%, 54.39%,-,74008a
13075,48.81%, 25.59%, 74.41%,-,4100bd
13077,75.70%, 12.15%, 87.85%,-,1e00e0
13079,76.35%, 11.82%, 88.18%,-,1e00e0
13081,13.08%, 43.46%, 56.54%,-,6e0090
13083,16.01%, 42.00%, 58.00%,-,6b0093
13085,6.75%, 46.62%, 53.38%,-,760088
13087,22.33%, 61.16%, 38.84%,-,9b0063
13089,1.82%, 50.91%, 49.09%,-,81007d
13091,42.53%, 28.74%, 71.26%,-,4900b5
13093,65.33%, 17.33%, 82.67%,-,2c00d2
13095,44.31%, 27.85%, 72.15%,-,4700b7
13097,14.56%, 57.28%, 42.72%,-,92006c
13099,48.95%, 25.52%, 74.48%,-,4100bd
13101,83.09%, 8.45%, 91.55%,-,1500e9
13103,58.73%, 79.37%, 20.63%,-,ca0034
13105,6.10%, 46.95%, 53.05%,-,770087
13107,50.38%, 24.81%, 75.19%,-,3f00bf
13109,43.61%, 28.19%, 71.81%,-,4700b7
13111,36.17%, 68.08%, 31.92%,-,ad0051
13113,31.78%, 34.11%, 65.89%,-,5600a8
13115,7.32%, 53.66%, 46.34%,-,880076
13117,52.99%, 76.49%, 23.51%,-,c3003b
13119,1.97%, 50.99%, 49.01%,-,82007c
13121,2.72%, 51.36%, 48.64%,-,82007c
13123,31.34%, 65.67%, 34.33%,-,a70057
13125,29.31%, 64.66%, 35.34%,-,a4005a
13127,18.55%, 59.27%, 40.73%,-,970067
13129,16.81%, 58.40%, 41.60%,-,94006a
13131,45.50%, 27.25%, 72.75%,-,4500b9
13133,43.81%, 28.10%, 71.90%,-,4700b7
13135,4.53%, 52.26%, 47.74%,-,850079
13137,11.92%, 55.96%, 44.04%,-,8e0070
13139,1.61%, 50.81%, 49.19%,-,81007d
13141,64.78%, 17.61%, 82.39%,-,2c00d2
13143,38.31%, 69.16%, 30.84%,-,b0004e
13145,58.56%, 20.72%, 79.28%,-,3400ca
13147,20.76%, 39.62%, 60.38%,-,650099
13149,11.66%, 44.17%, 55.83%,-,70008e
13151,35.89%, 32.06%, 67.94%,-,5100ad
13153,55.66%, 22.17%, 77.83%,-,3800c6
13155,69.97%, 15.01%, 84.99%,-,2600d8
13157,2.44%, 48.78%, 51.22%,-,7c0082
13159,63.73%, 18.13%, 81.87%,-,2e00d0
13161,27.27%, 36.36%, 63.64%,-,5c00a2
13163,13.96%, 56.98%, 43.02%,-,91006d
13165,10.39%, 44.80%, 55.20%,-,72008c
13167,37.99%, 31.00%, 69.00%,-,4f00af
13169,61.09%, 19.46%, 80.54%,-,3100cd
13171,68.42%, 15.79%, 84.21%,-,2800d6
13173,37.41%, 31.29%, 68.71%,-,4f00af
13175,61.74%, 19.13%, 80.87%,-,3000ce
13177,72.89%, 13.55%, 86.45%,-,2200dc
13179,0.50%, 50.25%, 49.75%,-,80007e
13181,3.73%, 48.14%, 51.86%,-,7a0084
13183,41.45%, 70.72%, 29.28%,-,b4004a
13185,40.67%, 29.67%, 70.33%,-,4b00b3
13187,19.02%, 40.49%, 59.51%,-,670097
13189,11.24%, 55.62%, 44.38%,-,8d0071
13191,12.15%, 56.07%, 43.93%,-,8e0070
13193,52.09%, 23.96%, 76.04%,-,3d00c1
13195,5.29%, 52.65%, 47.35%,-,860078
13197,52.40%, 23.80%, 76.20%,-,3c00c2
13199,68.15%, 15.93%, 84.07%,-,2800d6
13201,52.25%, 23.88%, 76.12%,-,3c00c2
13205,80.95%, 9.53%, 90.47%,-,1800e6
13207,41.77%, 29.12%, 70.88%,-,4a00b4
13209,54.94%, 22.53%, 77.47%,-,3900c5
13211,58.85%, 20.57%, 79.43%,-,3400ca
13213,5.94%, 52.97%, 47.03%,-,870077
