id,margin,taft,wilson,other,roosevelt,other2,hex_color
27039,17.59%, 23.35%, 26.97%,49.68%, 44.56%, 2.93%,3b7e44
27041,20.12%, 14.94%, 27.23%,52.3%, 47.36%, 4.29%,268545
27043,23.98%, 11.71%, 27.38%,58.63%, 51.36%, 6.94%,1d9545
27045,16.12%, 26.21%, 22.20%,48.599999999999994%, 42.33%, 5.96%,427b38
27047,25.91%, 17.04%, 22.31%,54.56999999999999%, 48.23%, 5.93%,2b8b38
27049,25.07%, 18.31%, 24.48%,53.99%, 49.56%, 4.06%,2e893e
27051,36.60%, 9.36%, 24.42%,66.22%, 61.03%, 3.33%,17a83e
27053,2.37%, 29.64%, 32.02%,26.34%, 23.69%,-,4b4351
27055,18.59%, 23.75%, 27.46%,48.79%, 46.05%,-,3c7c46
27057,3.13%, 21.20%, 26.58%,35.38%, 29.71%, 4.31%,365a43
27059,30.37%, 14.54%, 15.42%,52.96%, 47.45%, 5.19%,258727
27061,6.73%, 16.59%, 25.99%,35.919999999999995%, 32.73%, 2.19%,2a5b42
27063,11.75%, 17.14%, 33.43%,47.34%, 45.18%,-,2b7855
27065,17.77%, 16.99%, 21.04%,41.86%, 38.82%, 2.26%,2b6a35
27067,24.50%, 14.59%, 25.77%,53.730000000000004%, 50.27%, 2.95%,258941
27069,28.14%, 12.76%, 24.97%,56.75%, 53.10%, 3.17%,20903f
27071,6.13%, 12.63%, 33.72%,29.33%, 27.59%,-,204a55
27073,31.40%, 13.51%, 23.96%,59.86%, 55.36%, 4.22%,22983d
27075,7.66%, 14.38%, 15.40%,33.41%, 29.15%, 3.63%,245527
27077,0%,-,-,0.0%,-,-,000000
27079,15.08%, 24.93%, 41.87%,29.46%, 26.79%, 2.22%,3f4b6a
27081,7.33%, 16.40%, 34.04%,45.72%, 41.37%, 3.85%,297456
27083,3.37%, 15.65%, 36.34%,43.65%, 39.71%, 3.40%,276f5c
27085,11.61%, 22.77%, 42.59%,34.63%, 30.98%, 2.05%,3a586c
27087,22.24%, 10.88%, 46.88%,26.560000000000002%, 24.64%,-,1b4377
27089,39.39%, 11.30%, 19.35%,62.63%, 58.74%, 3.38%,1c9f31
27091,6.22%, 17.46%, 34.47%,45.099999999999994%, 40.69%, 4.23%,2c7357
27093,11.10%, 17.31%, 33.97%,46.65%, 45.07%,-,2c7656
27095,15.06%, 19.55%, 22.39%,41.65%, 37.46%, 3.24%,316a39
27097,0.38%, 19.18%, 36.79%,37.919999999999995%, 36.41%,-,30605d
27099,1.20%, 31.63%, 29.40%,35.17%, 32.82%,-,50594a
27101,8.10%, 17.18%, 34.32%,45.3%, 42.43%, 2.52%,2b7357
27103,4.29%, 21.64%, 38.29%,37.18%, 34.01%, 2.18%,375e61
27105,4.40%, 20.78%, 34.15%,40.98%, 38.54%, 2.13%,346857
27107,21.19%, 14.74%, 22.85%,51.12%, 44.04%, 6.54%,25823a
27109,1.90%, 18.21%, 39.01%,40.42%, 37.11%, 2.83%,2e6763
27111,21.83%, 11.53%, 26.57%,53.08%, 48.40%, 4.02%,1d8743
27113,19.28%, 13.03%, 22.60%,46.050000000000004%, 41.88%, 3.58%,217539
27115,16.74%, 17.04%, 25.81%,45.68%, 42.56%, 2.36%,2b7441
27117,10.22%, 18.09%, 30.35%,44.47%, 40.56%, 3.37%,2e714d
27119,11.55%, 12.79%, 28.92%,44.56%, 40.47%, 3.46%,207149
27121,36.86%, 16.63%, 19.44%,63.94%, 56.30%, 5.53%,2aa331
27123,0.02%, 12.70%, 38.43%,39.779999999999994%, 38.41%,-,206561
27125,12.38%, 27.88%, 40.26%,26.049999999999997%, 24.33%,-,474266
27127,5.20%, 17.08%, 35.48%,43.06%, 40.67%,-,2b6d5a
27129,10.30%, 18.02%, 33.57%,45.87%, 43.87%,-,2d7455
27131,3.31%, 22.19%, 35.09%,42.72%, 38.39%, 2.20%,386c59
27133,16.08%, 25.58%, 25.75%,44.7%, 41.82%, 2.60%,417141
27135,22.58%, 14.49%, 15.59%,47.71%, 44.79%, 2.14%,247927
27137,16.07%, 18.59%, 24.54%,43.199999999999996%, 40.62%, 2.01%,2f6e3e
27139,25.24%, 20.25%, 51.36%,28.400000000000002%, 26.12%,-,334882
27141,20.82%, 22.07%, 23.72%,49.61%, 44.53%, 4.22%,387e3c
27143,9.85%, 15.14%, 35.19%,47.21%, 45.04%,-,267859
27145,25.41%, 17.63%, 51.55%,27.990000000000002%, 26.14%,-,2c4783
27147,5.91%, 20.34%, 40.44%,39.22%, 34.53%, 2.63%,336467
27149,0.73%, 17.40%, 38.93%,41.660000000000004%, 38.20%, 3.16%,2c6a63
27151,3.87%, 16.92%, 35.86%,43.4%, 39.72%, 3.37%,2b6e5b
27153,0.80%, 27.76%, 28.56%,32.870000000000005%, 29.37%, 2.86%,465348
27155,1.58%, 10.34%, 44.28%,45.38%, 42.70%,-,1a7370
27157,10.36%, 23.32%, 41.62%,35.06%, 31.26%,-,3b596a
27159,13.46%, 20.90%, 25.26%,41.28%, 38.72%, 2.11%,356940
27161,4.53%, 20.53%, 39.42%,37.71%, 34.89%, 2.30%,346064
27163,18.68%, 13.76%, 30.52%,50.94%, 49.21%,-,23814d
