statecounty,margin,bush,clinton,perot
13083,8.51%, 45.61%, 37.09%, 17.13%
13085,7.63%, 43.58%, 35.95%, 20.30%
13087,0.75%, 42.35%, 43.11%, 14.40%
13089,25.19%, 32.62%, 57.82%, 9.16%
13091,11.39%, 36.43%, 47.82%, 15.58%
13093,28.31%, 30.53%, 58.84%, 10.33%
13095,8.99%, 40.27%, 49.26%, 10.27%
13097,16.81%, 50.08%, 33.27%, 16.36%
13099,12.38%, 35.17%, 47.55%, 15.74%
13101,5.38%, 39.63%, 34.25%, 26.13%
13103,14.12%, 47.90%, 33.78%, 18.12%
13105,10.59%, 38.46%, 49.05%, 12.28%
13107,4.50%, 41.43%, 45.93%, 11.75%
13109,0.47%, 42.03%, 41.55%, 16.22%
13111,4.91%, 45.24%, 40.33%, 14.29%
13113,28.86%, 55.47%, 26.60%, 17.67%
13115,2.74%, 44.43%, 41.69%, 13.56%
13117,21.75%, 50.64%, 28.89%, 20.21%
13119,1.92%, 40.37%, 42.29%, 17.12%
13121,24.09%, 33.20%, 57.29%, 9.16%
13123,5.94%, 45.19%, 39.25%, 14.93%
13125,19.74%, 50.94%, 31.19%, 17.77%
13127,11.60%, 49.02%, 37.42%, 13.31%
13129,10.36%, 46.95%, 36.59%, 16.21%
13131,2.49%, 39.28%, 41.77%, 18.66%
13133,23.46%, 32.21%, 55.67%, 11.90%
13135,24.95%, 54.34%, 29.39%, 15.89%
13137,16.10%, 50.02%, 33.92%, 15.81%
13139,15.09%, 49.67%, 34.58%, 15.55%
13141,61.93%, 16.03%, 77.95%, 5.99%
13143,1.82%, 41.23%, 43.05%, 15.31%
13145,9.15%, 47.64%, 38.49%, 13.71%
13147,13.23%, 34.26%, 47.50%, 18.08%
13149,8.13%, 36.36%, 44.49%, 18.85%
13151,19.84%, 52.03%, 32.19%, 15.52%
13153,5.65%, 43.11%, 37.47%, 19.12%
13155,13.94%, 34.50%, 48.44%, 16.49%
13157,2.01%, 43.38%, 41.37%, 15.07%
13159,10.98%, 38.14%, 49.12%, 12.34%
13161,1.70%, 39.32%, 41.01%, 19.35%
13163,19.08%, 34.68%, 53.77%, 11.44%
13165,17.30%, 34.05%, 51.36%, 14.44%
13167,4.83%, 39.88%, 44.70%, 15.24%
13169,7.80%, 38.05%, 45.86%, 15.92%
13171,8.12%, 38.71%, 46.83%, 13.61%
13173,12.32%, 35.03%, 47.34%, 17.40%
13175,0.27%, 43.72%, 43.99%, 11.39%
13177,21.16%, 51.81%, 30.65%, 17.33%
13179,12.93%, 35.87%, 48.80%, 14.90%
13181,6.02%, 38.84%, 44.86%, 16.19%
13183,7.92%, 36.74%, 44.66%, 18.14%
13185,5.66%, 46.30%, 40.64%, 12.91%
13187,0.75%, 39.16%, 39.91%, 20.55%
13189,4.87%, 45.69%, 40.82%, 13.30%
13191,25.53%, 29.20%, 54.73%, 15.64%
13193,40.65%, 24.80%, 65.45%, 9.54%
13195,13.90%, 48.61%, 34.72%, 16.38%
13197,21.11%, 34.58%, 55.69%, 9.63%
13199,22.38%, 32.30%, 54.67%, 12.87%
13201,4.87%, 37.26%, 42.13%, 20.52%
13205,19.59%, 33.08%, 52.67%, 14.12%
13207,5.69%, 39.28%, 44.97%, 15.39%
13209,6.73%, 38.56%, 45.28%, 15.90%
13211,5.84%, 40.34%, 46.17%, 13.38%
13213,6.82%, 45.13%, 38.31%, 16.44%
13215,7.98%, 41.70%, 49.68%, 8.44%
13217,0.05%, 42.49%, 42.54%, 14.63%
13219,17.09%, 51.08%, 33.99%, 14.64%
13221,2.67%, 42.94%, 40.26%, 16.74%
13223,13.04%, 47.59%, 34.54%, 17.59%
13225,19.36%, 33.37%, 52.73%, 13.58%
13227,0.47%, 40.57%, 41.04%, 18.04%
13229,1.05%, 42.46%, 41.41%, 15.83%
13231,4.17%, 44.40%, 40.23%, 15.18%
